id,product_name,category,image_path
38326,Hannah Montana Girls Pink Printed Top,Apparel,static/images/38326.jpg
35883,Jungle Book Boys Rumble In The Jungle Yellow T-shirt,Apparel,static/images/35883.jpg
8417,Doodle Girl's Saturday 24Am Yellow Teen Kidswear,Apparel,static/images/8417.jpg
10294,Clarks Men Feeling Good Leather Brown Formal Shoes,Footwear,static/images/10294.jpg
3160,Nike Men's Dual Fusion White Shoe,Footwear,static/images/3160.jpg
20777,Carlton London Women Classy Gold Sandals,Footwear,static/images/20777.jpg
42087,ADIDAS Men White Aztek Shoes,Footwear,static/images/42087.jpg
31100,Gini and Jony Boys Check Navy Blue Shirt,Apparel,static/images/31100.jpg
15570,Chhota Bheem Kids Boys Flying High TShirt,Apparel,static/images/15570.jpg
4201,Disney Kids Boy's Green Crew Sea Life Sialing Kidswear,Apparel,static/images/4201.jpg
4204,Disney Kids Boy's White Regatta Annual Competition Kidswear,Apparel,static/images/4204.jpg
24454,Nike Men Court Majestic White Casual Shoes,Footwear,static/images/24454.jpg
39332,Gini & Jony Boys White T-shirt,Apparel,static/images/39332.jpg
19124,Lotto Women XL Kelly Pink Slippers,Footwear,static/images/19124.jpg
8071,New Balance Women Silver Sports Shoes,Footwear,static/images/8071.jpg
54110,Rocia Women Black Flats,Footwear,static/images/54110.jpg
10097,Reebok Men Reeflex Run White Sports Shoes,Footwear,static/images/10097.jpg
35440,Doodle Boys Check Black Shirt,Apparel,static/images/35440.jpg
36730,Gini and Jony Girls Striped Blue Top,Apparel,static/images/36730.jpg
2963,Puma Men's Basket Biz White & Blue Shoe,Footwear,static/images/2963.jpg
4184,Rockport Men D2N Desert Boot Dark Brown Shoe,Footwear,static/images/4184.jpg
4325,Tantra Kid's Unisex Stop Turqoise Kidswear,Apparel,static/images/4325.jpg
12705,Nike Men Air Courtballistic White Sports Shoes,Footwear,static/images/12705.jpg
2727,Disney Kids Boy's Yellow Polo Tshirt,Apparel,static/images/2727.jpg
40924,Gini and Jony Boys Jeans Blue Jeans,Apparel,static/images/40924.jpg
5691,Skechers Men's Regions Off White Shoe,Footwear,static/images/5691.jpg
15714,Nike Men Free Run+ 2 Black Sports Shoes,Footwear,static/images/15714.jpg
47191,Franco Leone Men Black Formal Shoes,Footwear,static/images/47191.jpg
11856,Playboy Men Casual Red Slippers,Footwear,static/images/11856.jpg
34633,Lotto Men Dolce Vita II Black Sports Shoes,Footwear,static/images/34633.jpg
22162,Timberland Men Black Casual Shoes,Footwear,static/images/22162.jpg
24455,Nike Women Court Majestic White Shoes,Footwear,static/images/24455.jpg
33840,Puma Men Hypermoto Ducati Black Shoes,Footwear,static/images/33840.jpg
58329,Lotto Men Red Flip Flops,Footwear,static/images/58329.jpg
4202,Disney Kids Boy's Navy Crew Sea Life Sialing Kidswear,Apparel,static/images/4202.jpg
23247,Arrow Men Formal Black Shoe,Footwear,static/images/23247.jpg
35434,Doodle Girls Printed Blue Dress,Apparel,static/images/35434.jpg
6628,ADIDAS Men's Lowell White Silver Shoe,Footwear,static/images/6628.jpg
9052,ADIDAS Men Duramo 3 M White Sports Shoes,Footwear,static/images/9052.jpg
16163,Enroute Men Leather Tan Formal Shoes,Footwear,static/images/16163.jpg
43883,Puma Women Black Flats,Footwear,static/images/43883.jpg
57304,Rocia Women Brown Wedges,Footwear,static/images/57304.jpg
42732,Rocia Women Silver Sandals,Footwear,static/images/42732.jpg
23848,ADIDAS Men White Razor Sports Shoes,Footwear,static/images/23848.jpg
42026,ADIDAS Women White Bolt Sports Shoes,Footwear,static/images/42026.jpg
39002,Gini and Jony Boys Core Black T-shirt,Apparel,static/images/39002.jpg
13682,ADIDAS Women Duramo 3 Sports Shoes,Footwear,static/images/13682.jpg
44202,iPanema Women Purple Flip Flops,Footwear,static/images/44202.jpg
36216,Gini and Jony Girls Core Magenta Shorts,Apparel,static/images/36216.jpg
56679,Portia Women Brown Sandals,Footwear,static/images/56679.jpg
20805,Fila Men Rambler Olive Flip Flops,Footwear,static/images/20805.jpg
39310,Red Chief Men Khaki Casual Shoes,Footwear,static/images/39310.jpg
5405,Kalenji Ekiden Comfort Prime 2011,Footwear,static/images/5405.jpg
30730,Fabindia Girls Printed Purple Salwar,Apparel,static/images/30730.jpg
26459,Puma Women Trinity White Checked Canvas Shoes,Footwear,static/images/26459.jpg
40137,Gini and Jony Boys Around The World Grey T-shirt,Apparel,static/images/40137.jpg
58459,Madagascar 3 Boys Navy Blue T-shirt,Apparel,static/images/58459.jpg
44497,Gliders Women Brown Shoes,Footwear,static/images/44497.jpg
45371,Cobblerz Women Taupe Brown Sandals,Footwear,static/images/45371.jpg
2722,Disney Kids Boy's Denim Mickey Surf Kidswear,Apparel,static/images/2722.jpg
38652,Nike Women Double Team Lite Black Shoes,Footwear,static/images/38652.jpg
13473,Rocia Women White Heels,Footwear,static/images/13473.jpg
31948,Nike Men Air Pegasus Blue Sports Shoes,Footwear,static/images/31948.jpg
6470,Numero Uno Men's Beige Brown Casual Shoe,Footwear,static/images/6470.jpg
2703,Disney Kids Girl's Check Pink Kidswear,Apparel,static/images/2703.jpg
5427,Ant Kids Boy's Red Cartoon Pop Kidswear,Apparel,static/images/5427.jpg
49461,Vans Men Blue Era Scilla Plaid Shoes,Footwear,static/images/49461.jpg
41755,Doodle Girls Printed Blue Top,Apparel,static/images/41755.jpg
26598,Puma Men Faas 300 White Sports Shoes,Footwear,static/images/26598.jpg
38336,Mr. Men Little Miss Girls Pink Top,Apparel,static/images/38336.jpg
56961,HM Women Black Flats,Footwear,static/images/56961.jpg
33273,Gini and Jony Girls Green Leggings,Apparel,static/images/33273.jpg
16733,Lotto Men Earth Black Slipper,Footwear,static/images/16733.jpg
34029,Palm Tree Boys Check Black Shirt,Apparel,static/images/34029.jpg
39001,Gini and Jony Boys Core Red T-shirt,Apparel,static/images/39001.jpg
37378,U.S. Polo Assn. Boys Blue Polo T-shirt,Apparel,static/images/37378.jpg
41752,Doodle Boys Printed Yellow T-shirt,Apparel,static/images/41752.jpg
2705,Disney Kids Girl's Blue Pooh Blouse Kidswear,Apparel,static/images/2705.jpg
38985,Gini and Jony Boys Comics Red T-shirt,Apparel,static/images/38985.jpg
5600,Reebok Men's Trail Mud Slinger Black Blue Shoe,Footwear,static/images/5600.jpg
17411,Lotto Men Basketball Mid White Sports Shoe,Footwear,static/images/17411.jpg
31102,Gini and jony Boys Printed Red T-shirt,Apparel,static/images/31102.jpg
26562,Lee Cooper Men Brown Shoes,Footwear,static/images/26562.jpg
56879,HM Women Black Heels,Footwear,static/images/56879.jpg
54542,F Sports Men White Hurricane Sports Shoes,Footwear,static/images/54542.jpg
32813,iPanema Women Ritmos Purple Flats,Footwear,static/images/32813.jpg
35999,Ben 10 Boys Crew Red T-shirt,Apparel,static/images/35999.jpg
32853,Grendha Women Claudia Green Flats,Footwear,static/images/32853.jpg
39755,Gini Jony Girls Pink Leggings,Apparel,static/images/39755.jpg
5690,Skechers Men Valence Envoy Black Shoe,Footwear,static/images/5690.jpg
1836,Nike Air Visi Sleek Shoes,Footwear,static/images/1836.jpg
42595,United Colors of Benetton Boys Grey Slim Fit Jeans,Apparel,static/images/42595.jpg
9053,ADIDAS Men Duramo 3 M Grey Sports Shoes,Footwear,static/images/9053.jpg
35885,Jungle Book Boys Yee-Ha! White T-shirt,Apparel,static/images/35885.jpg
12704,Nike Men Air Relentness Grey Sports Shoes,Footwear,static/images/12704.jpg
44528,Coolers Men Black Sandals,Footwear,static/images/44528.jpg
12966,ADIDAS Men Snova Glide Grey Sports Shoes,Footwear,static/images/12966.jpg
2711,Disney Kids Girl's Halter Neck Pink Kidswear,Apparel,static/images/2711.jpg
41963,Gini and Jony Girls Core Green Top,Apparel,static/images/41963.jpg
36417,Spinn Women Alliance Black Sports Shoes,Footwear,static/images/36417.jpg
